run_id,compiler_id,contract,profile,tx_id,success,gas_used,baseline_gas_used,gas_delta,gas_pct,status_match,logs_match,revert_data_match,storage_match,duration_ms,error
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,default,uniswapv4-modify-liquidity,true,130909,,,,true,true,true,true,26,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,default,uniswapv4-usdc-weth-swap,true,270526,,,,true,true,true,true,36,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,optimized,uniswapv4-modify-liquidity,true,123913,,,,true,true,true,true,22,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,optimized,uniswapv4-usdc-weth-swap,true,252903,,,,true,true,true,true,32,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,optimized-high-runs,uniswapv4-modify-liquidity,true,123103,,,,true,true,true,true,24,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,optimized-high-runs,uniswapv4-usdc-weth-swap,true,250434,,,,true,true,true,true,36,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,optimized-low-runs,uniswapv4-modify-liquidity,true,125937,,,,true,true,true,true,21,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,optimized-low-runs,uniswapv4-usdc-weth-swap,true,257177,,,,true,true,true,true,34,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,via-ir,uniswapv4-modify-liquidity,true,122958,,,,true,true,true,true,22,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,via-ir,uniswapv4-usdc-weth-swap,true,249899,,,,true,true,true,true,32,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,via-ir-high-runs,uniswapv4-modify-liquidity,true,122402,,,,true,true,true,true,22,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,via-ir-high-runs,uniswapv4-usdc-weth-swap,true,248736,,,,true,true,true,true,32,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,via-ir-low-runs,uniswapv4-modify-liquidity,true,123084,,,,true,true,true,true,19,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x000000000004444c5dc75cb358380d2e3de08a90,via-ir-low-runs,uniswapv4-usdc-weth-swap,true,250543,,,,true,true,true,true,31,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,default,ens-set-subnode-owner,true,48899,,,,true,true,true,true,5,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,default,ens-set-subnode-record,true,266799,,,,true,true,true,true,24,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,optimized,ens-set-subnode-owner,true,47278,,,,true,true,true,true,5,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,optimized,ens-set-subnode-record,true,263930,,,,true,true,true,true,23,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,optimized-high-runs,ens-set-subnode-owner,true,47252,,,,true,true,true,true,5,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,optimized-high-runs,ens-set-subnode-record,true,263802,,,,true,true,true,true,22,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,optimized-low-runs,ens-set-subnode-owner,true,47338,,,,true,true,true,true,5,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,optimized-low-runs,ens-set-subnode-record,true,264256,,,,true,true,true,true,22,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,via-ir,ens-set-subnode-owner,true,47006,,,,true,true,true,true,5,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,via-ir,ens-set-subnode-record,true,263527,,,,true,true,true,true,23,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,via-ir-high-runs,ens-set-subnode-owner,true,46994,,,,true,true,true,true,4,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,via-ir-high-runs,ens-set-subnode-record,true,263458,,,,true,true,true,true,22,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,via-ir-low-runs,ens-set-subnode-owner,true,47034,,,,true,true,true,true,4,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,via-ir-low-runs,ens-set-subnode-record,true,263616,,,,true,true,true,true,22,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,default,usdc-approve,true,34318,,,,true,true,true,true,13,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,default,usdc-transfer,true,42419,,,,true,true,true,true,13,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,optimized,usdc-approve,true,33746,,,,true,true,true,true,10,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,optimized,usdc-transfer,true,40753,,,,true,true,true,true,10,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,optimized-high-runs,usdc-approve,true,33731,,,,true,true,true,true,13,
solc-0.8.36-moh-eulith,solc-0.8.36-moh-eulith,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,optimized-high-runs,usdc-transfer,true,40418,,,,true,true,true,true,12,
