run_id,compiler_id,stage,contract,profile,tx_id,error_kind,error
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,simulation,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,logs_mismatch,"expected Some(""0xad86beca880651e91064abd78b995e2f630ae16c76e33d1fee8964ec4e254d7b"") actual 0xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470"
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,simulation,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,status_mismatch,expected success=true actual success=false
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0x5f7827fdeb7c20b443265fc2f40845b715385ff2 0x79052f885f5a2eef994bc8df33ea3c8ad755997462550ff2074c39cfecfa0a95 expected 0x000000000000000000000000000000000000000000004674190756311f83f64b actual 0x00000000000000000000000000000000000000000000467986392b90edc9864b
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0x5f7827fdeb7c20b443265fc2f40845b715385ff2 0x7b6e818701787abbb4d0ccd31b7892ca62c5b73deebe436e3b7ee909592ee58c expected 0x00000000000000000000000000000000000000000021feefdf8d00d94fe4efa3 actual 0x00000000000000000000000000000000000000000021feea725b2b79819f5fa3
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0x5f7827fdeb7c20b443265fc2f40845b715385ff2 0x924a4d52e5facd3533f4115781f612d5dbba39330fbdc4d5234d065eb678179d expected 0x0000000000000000000000000000000000000000000000000000000000000000 actual 0x0000000000000000000000000000000000000000000000056d31d55fce459000
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0x75741a12b36d181f44f389e0c6b1e0210311e3ff 0x0000000000000000000000000000000000000000000000000000000000000002 expected 0x00000000000000000000000000000000000000000025d801429647fd85680e03 actual 0x00000000000000000000000000000000000000000025d7fbe1cec09c14fea8d3
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0x75741a12b36d181f44f389e0c6b1e0210311e3ff 0x0000000000000000000000000000000000000000000000000000000000000016 expected 0x000000000000000000000000000000000000000000262f5e15e8d527480a5032 actual 0x000000000000000000000000000000000000000000262f58a6cffa6d6600628f
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0x75741a12b36d181f44f389e0c6b1e0210311e3ff 0x13a046f0b5c960d33ebffdbdcb4e845d8322cace854671d111b7c8f5ccf7f901 expected 0x0000000000000000000000000000000000000000001cdf115bba722c705234dc actual 0x0000000000000000000000000000000000000000001cdf0bfaf2eacaffe8cfac
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0x870ac11d48b15db9a138cf899d20f13f79ba00bc 0xbc9271fc4fab608c1053d741c5e798ff1c539a6d7c3b9e235a6c305354414734 expected 0x00000000000000000000000000000000000000000000000000000000114d3f4d actual 0x00000000000000000000000000000000000000000000000000000000114d42d5
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xad64b7e01dc7304796e9b840043d7834ec3a2929 0x0000000000000000000000000000000000000000000000000000000000000006 expected 0x000000000000000000000000000000000000000000000000000000006a03871f actual 0x000000000000000000000000000000000000000000000000000000006a0360a3
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xad64b7e01dc7304796e9b840043d7834ec3a2929 0x0000000000000000000000000000000000000000000000000000000000000007 expected 0x000000000000000000000000000000000000000000001d7120b0080701ea52c7 actual 0x000000000000000000000000000000000000000000001d6ba1b02f3af9d59ce2
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xad64b7e01dc7304796e9b840043d7834ec3a2929 0x52c63247e1f47db19d5ce0460030c497f067ca4cebf71ba98eeadabe20bace02 expected 0x0000000000000000000000000000000000000001bc4f5b3260f0c79b58abc19d actual 0x0000000000000000000000000000000000000001bbfd5be355748c2be94f1a44
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xad64b7e01dc7304796e9b840043d7834ec3a2929 0x5459230bccea90e0605dc147e2eaaa271ffb6e5a268c8e9a5f9c369e8e39e5b4 expected 0x0000000000000000000000000000000000000000001329f8817797e12b10a0d5 actual 0x000000000000000000000000000000000000000000130f1a2cd5425306f6e766
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xad64b7e01dc7304796e9b840043d7834ec3a2929 0xb46168da2e58b1d1518d3c90a1521bdc4fde20813145a312df43eb477fc7a2e8 expected 0x00000000000000000000000000000000000000000051e470b6d9e5e14b42edea actual 0x0000000000000000000000000000000000000000000000000000000000000000
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb 0x7e71def3355a2f9765b106f2ff869bd3cba7cfa90a8c52ebcab3ea9737ea8b9e expected 0x00000066f1804cdc075970f902da43f6000000000006eac01fbb50eafd92e6a7 actual 0x00000066f12f89edd37882c98d0e875a000000000006eabab017f06e8ec2a8be
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb 0x7e71def3355a2f9765b106f2ff869bd3cba7cfa90a8c52ebcab3ea9737ea8b9f expected 0x0000005a33d3ae7550880fd9feefb51c000000000006146afe6ef70c51087867 actual 0x0000005a33d3ae7550880fd9feefb51c000000000006146afbfd6befb07dca7e
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb 0x7e71def3355a2f9765b106f2ff869bd3cba7cfa90a8c52ebcab3ea9737ea8ba0 expected 0x000000000000000000000000000000000000000000000000000000006a03871f actual 0x000000000000000000000000000000000000000000000000000000006a0386cb
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb 0x9b260b5b0c738d71a873379ea3404eba608a8fffc252254b6c7d50f5b0253d9a expected 0x0000000000000000000000000000000000000066f17f931b4d45b8b8092d24e5 actual 0x0000000000000000000000000000000000000066f12ed02d1964ca8893616849
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbeef0c075da5d01112ae5cf34d257074fb5ddb2f 0x000000000000000000000000000000000000000000000000000000000000000b expected 0x000000000000000000000000000000000000000000276807be8c02b1d913ebcf actual 0x00000000000000000000000000000000000000000027680261b651e23f43e87b
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbeef0c075da5d01112ae5cf34d257074fb5ddb2f 0x000000000000000000000000000000000000000000000000000000000000000f expected 0x0000000037de1e10000000006a03871f000000000027e03f8fe887d75a7dec54 actual 0x0000000037de1e10000000006a0386e3000000000027e039fd1706433633df9c
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbeef0c075da5d01112ae5cf34d257074fb5ddb2f 0xa0172c5189dec15858008a4427649f71ccd16a2a7156bfb07a3a071af4ac5e2c expected 0x000000000000000000000000000000000000000000001d185dc30622ebc56b0f actual 0x000000000000000000000000000000000000000000001d1300ed555351f567bb
solc-0.8.36-memorymasking-07,solc-0.8.36-memorymasking-07,storage,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,default,morpho-supply,storage_mismatch,0xbeef0c075da5d01112ae5cf34d257074fb5ddb2f 0xfb2748f5b9e93521e31b16061b8093672dc2cf384d26fc0cb07f59f5ea4c0bef expected 0x0000000000000000000000000000000000000000001d21b7b0541f2c28c62794 actual 0x0000000000000000000000000000000000000000001d21b241aebc5dff4441fe
